id,customer_id,make,model,year,vin,license_plate,color,mileage,created_at
7,366,Acura,Door,2009,19uua96529a004646,LP-389316,Black,179389,2024-11-28 07:31:00
8,739,Honda,Door,2015,19xfb2f81fe252000,LP-703530,White,95128,2024-02-05 20:14:00
9,742,Dodge,Pickup,2001,1b7hc16x01s213315,LP-756836,White,109360,2024-04-04 22:39:00
10,478,Dodge,Pk,2002,1b7hg38n62s587845,LP-756423,Black,185460,2024-02-23 03:14:00
11,487,Chrysler,Door,2011,1c3bc1fg1bn519076,LP-660385,Gold,114119,2024-07-20 17:32:00
12,505,Chrysler,Door,2015,1c3cccab7fn613884,LP-755375,Black,88227,2024-12-24 14:55:00
13,683,Dodge,Door,2015,1c3cdfaa2fd144750,LP-783937,White,88398,2024-02-22 07:15:00
14,385,Dodge,Door,2015,1c3cdfaa2fd434311,LP-800591,White,67133,2024-05-06 16:12:00
15,426,Dodge,Door,2013,1c3cdfba9dd316977,LP-629352,Orange,126718,2024-06-06 13:18:00
16,591,Dodge,Door,2013,1c3cdfbaxdd150548,LP-744124,Black,84109,2024-05-06 08:51:00
17,206,Dodge,Door,2014,1c3cdfbaxed815126,LP-690780,Red,74975,2024-04-25 17:21:00
18,62,Dodge,Door,2015,1c3cdfbb3fd213551,LP-779186,White,70296,2024-03-05 05:59:00
19,520,Dodge,Door,2015,1c3cdfbb5fd213552,LP-547285,White,89142,2024-08-23 21:24:00
20,151,Dodge,Door,2015,1c3cdfbb5fd319614,LP-736461,White,93604,2024-02-04 07:20:00
21,54,Dodge,Door,2014,1c3cdfbb6ed862064,LP-727578,Silver,96922,2024-07-24 03:21:00
22,623,Dodge,Door,2016,1c3cdfbb6gd515496,LP-773297,Silver,66167,2024-12-11 07:50:00
23,710,Dodge,Door,2016,1c3cdfbb8gd766472,LP-783975,Blue,72248,2024-06-27 14:41:00
24,479,Dodge,Door,2013,1c3cdfcb9dd329946,LP-779844,Orange,107593,2024-02-15 02:54:00
25,73,Dodge,Door,2015,1c3cdfcb9fd102064,LP-793030,White,62683,2024-06-10 07:44:00
26,639,Dodge,Door,2015,1c3cdfeb8fd116826,LP-641448,Gray,60707,2024-08-12 01:32:00
27,330,Dodge,Dart,2016,1c3cdffh0gd823262,LP-756148,Black,49033,2024-09-26 07:28:00
28,763,Dodge,Door,2014,1c3cdzab0en111068,LP-756167,Silver,123660,2024-12-06 17:28:00
29,642,Dodge,Door,2013,1c3cdzab4dn594353,LP-623035,Blue,139404,2024-10-05 02:45:00
30,586,Dodge,Door,2012,1c3cdzag7cn309641,LP-791160,White,123882,2024-11-12 07:43:00
31,566,Dodge,Door,2013,1c3cdzcb5dn552741,LP-682466,Gray,239822,2024-05-04 07:03:00
